heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,n_particles
5.075347803424144,3.9329599037719536,6.708905033187246,13.033650727108444,0.0,0.0,13.033650727108444,40.1298441555388,0.041840971724011834,0.3412500000000003,0.140066381821532,0.05446852547267443,0.0065911851098828566,0.9230769230769231,0.13069423076923076,0,0.0,0,0,0,0,0,24,,0.0,combined,0,shadow_only,1,4,1.0,50
11.804860900152178,5.833406134937529,8.90812615566508,22.983142728488755,0.0,0.0,22.983142728488755,41.18935299697035,0.04709855229345626,0.5537500000000002,0.18463966210215546,0.0010526416343010598,0.01081272184290637,0.8557692307692307,0.13359807692307693,0,0.0,0,0,0,0,0,24,,0.0,combined,1,shadow_only,1,4,1.0,50
5.918852109657617,4.829836541984565,7.0964010561257025,15.006529285317605,0.0,0.0,15.006529285317605,40.25834561248764,0.044293506488989595,0.36250000000000027,0.16000525490958228,0.022107695307632562,0.009553136456465938,0.8846153846153846,0.12529711538461538,0,0.0,0,0,0,0,0,24,,0.0,combined,2,shadow_only,1,4,1.0,50
8.554128718175518,3.826737826867879,8.850781136765447,17.691335227102662,0.0,0.0,17.691335227102662,40.63410903779202,0.04165421799809121,0.5325000000000002,0.2585258352506009,0.0014599731872229071,0.00811531805935113,0.6923076923076923,0.1272230769230769,0,0.0,0,0,0,0,0,24,,0.0,combined,3,shadow_only,1,4,1.0,50
13.157719271805991,7.517438533055676,9.233529733529988,26.215275644979663,0.0,0.0,26.215275644979663,41.201123514611865,0.05065592653186997,0.5750000000000002,0.18831655199803402,0.028012993141428612,0.00972176471862044,0.7884615384615384,0.13366730769230767,0,0.0,0,0,0,0,0,24,,0.0,combined,4,shadow_only,1,4,1.0,50
8.996236652282871,3.522334220115858,8.477025258921788,17.604786027751803,0.0,0.0,17.604786027751803,40.77205621441585,0.04088410900210657,0.5112500000000002,0.1998441086232556,-0.010099074757344275,0.008563803940991788,0.7692307692307693,0.13311153846153848,0,0.0,0,0,0,0,0,24,,0.0,combined,5,shadow_only,1,4,1.0,50
8.56871289820523,4.028451685998745,8.358523720291634,17.612278816378957,0.0,0.0,17.612278816378957,40.60465395258843,0.04214196229623424,0.42850739932662407,0.1883959561913455,0.00480202014188743,0.00787307785614089,0.7788461538461539,0.12769903846153846,0,0.0,0,0,0,0,0,24,,0.0,combined,6,shadow_only,1,4,1.0,50
6.41020935226487,4.430991774987321,7.503199875053742,15.343121052284435,0.0,0.0,15.343121052284435,40.31370273649067,0.043259147965451425,0.38375000000000026,0.17866635111347642,0.01925677301339112,0.008698947479899837,0.8461538461538461,0.12850673076923075,0,0.0,0,0,0,0,0,24,,0.0,combined,7,shadow_only,1,4,1.0,50
5.737103383484827,3.929191234581418,7.49953120436675,14.166013340686295,0.0,0.0,14.166013340686295,40.22898825942041,0.041824543861830654,0.4055329309982766,0.15559748518020478,0.0327625058812427,0.008816618618533716,0.8942307692307693,0.12947115384615385,0,0.0,0,0,0,0,0,24,,0.0,combined,8,shadow_only,1,4,1.0,50
18.758353025865517,6.36414457164724,9.98347785462765,31.11258431028935,0.0,0.0,31.11258431028935,41.89858732291488,0.04854107508408938,0.6600000000000001,0.2933174697270654,-0.010518383609112999,0.006814995279920616,0.6634615384615384,0.14109903846153846,0,0.0,0,0,0,0,0,24,,0.0,combined,9,shadow_only,1,4,1.0,50
3.681258693376959,3.9941945442584044,6.51565677427799,11.584847302202157,0.0,0.0,11.584847302202157,39.88677255233863,0.041884205603876526,0.36250000000000027,0.1324091757795355,0.05607540365612515,0.007331822685294281,0.9230769230769231,0.1252201923076923,0,0.0,0,0,0,0,0,24,,0.0,combined,10,shadow_only,1,4,1.0,50
10.012580692280986,7.707645123426758,8.750152304192225,22.97031719822308,0.0,0.0,22.97031719822308,40.90914042775956,0.051119476099879914,0.5537500000000002,0.22393044973170562,0.009162352853465654,0.00884556101379851,0.7211538461538461,0.1273701923076923,0,0.0,0,0,0,0,0,24,,0.0,combined,11,shadow_only,1,4,1.0,50
3.712964039419518,3.3105714393631427,6.211353594315311,10.750347635371847,0.0,0.0,10.750347635371847,39.998979230466794,0.03977333888129079,0.3412500000000003,0.13669186154673163,0.0588449912302762,0.007379003661922001,0.9519230769230769,0.12512884615384617,0,0.0,0,0,0,0,0,24,,0.0,combined,12,shadow_only,1,4,1.0,50
