heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,llm_episodes,llm_tool_calls,llm_no_action_epochs,llm_invalid_action_epochs,llm_api_errors,llm_in_tokens,llm_out_tokens,llm_est_cost_usd,scenario,seed,agent,days,decide_every,sensor_noise_mult,model,wall_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.031645412595594,0.007181583591983546,0.0,0.12571597352335373,0.022998867027202535,0.0016513739982336045,0.9326923076923077,0.13414134615384615,0,0.0,0,0,24,0,0,48,,0.0,24,48,0,0,0,76770,4859,1.0742,normal,0,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,109.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.010694066989416,0.008475830122196094,0.0,0.17795058061541436,0.03324893397021246,0.0014661610417701862,0.8653846153846154,0.1389375,0,0.0,0,0,24,0,0,48,,0.0,24,48,0,0,0,76843,4954,1.0802,normal,1,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,111.3
0.0,0.0,0.0,0.0,1.335,0.0,1.335,38.93712255950391,0.008369386142052536,0.0,0.16046771391586423,0.01721270283901829,0.0015546309228973592,0.8846153846153846,0.1397951923076923,0,22.25,0,0,24,0,0,51,,21.5,24,51,0,0,0,81346,5334,1.0938,heat,1,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,120.6
0.042322058270888974,0.0,0.0,0.042322058270888974,0.84,0.0,0.8823220582708889,39.332791555040906,0.007434223459409483,0.0,0.08980927372686058,0.03575135313337762,0.0012668575739450294,0.9807692307692307,0.12868365384615385,0,14.0,0,0,24,0,0,50,0.0,13.5,24,50,0,0,0,80987,5955,1.103,heat,0,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,125.6
0.02600311357275409,0.0,0.0,0.02600311357275409,0.84,0.0,0.8660031135727541,39.294075388032006,0.00660377633121444,0.0,0.08696476626466561,0.04008024672273901,0.001389510539736469,1.0,0.1300125,0,14.0,0,0,24,1,0,52,0.0,14.0,24,52,0,0,0,85983,6066,1.104,heat,2,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,125.7
0.6034655968765126,3.2737459211489255,0.43871812972872476,4.140442395862673,0.6599999999999999,0.0,4.800442395862673,39.75477447337048,0.03577054276658714,0.0,0.13984996777271147,0.03696753114251926,0.008212039887106483,0.9519230769230769,0.14163653846153845,0,11.0,0,0,24,0,0,51,1.5,10.25,24,51,0,0,0,83726,6311,1.1135,water_block,0,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,130.6
0.07112862254756713,0.0,0.0,0.07112862254756713,0.96,0.0,1.031128622547567,39.39570847910438,0.0075035484380596255,0.0,0.10522753868228595,0.03115231280392823,0.001325665754802218,0.9711538461538461,0.1381375,0,16.0,0,0,24,0,0,50,0.0,15.5,24,50,0,0,0,80951,5042,1.288,sensor_fault,0,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,111.5
0.7069608779453915,4.232777769238577,0.7736926656760366,5.403954246589591,1.03,0.0,6.433954246589591,39.657769358054104,0.03878354738212352,0.0,0.12001191388602178,0.03708628289607715,0.010113585165071333,0.9903846153846154,0.13960192307692307,0,8.0,1,0,24,0,0,52,1.5,7.75,24,52,0,0,0,85646,6624,1.3064,water_block,1,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,127.7
0.05540461579797551,0.0,0.0,0.05540461579797551,0.8999999999999999,0.0,0.9554046157979754,39.37762501868253,0.008343435186317288,0.0,0.13434637030812946,0.018754574545687578,0.0015553012616560749,0.9615384615384616,0.1395048076923077,0,15.0,0,0,24,0,0,50,0.5,14.25,24,50,0,0,0,81166,5675,1.3175,sensor_fault,1,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,118.4
0.0,0.0,0.0,0.0,1.035,0.0,1.035,38.92303178759583,0.00649806944634782,0.0,0.1350337263129578,0.0355725565996384,0.0015744493545246034,0.9423076923076923,0.1396644230769231,0,17.25,0,0,24,1,0,50,,17.0,24,50,0,0,0,80584,5660,1.3244,sensor_fault,2,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,116.2
2.882717100192284,0.0,5.489991951191213,6.176712270907012,1.1,0.12,7.396712270907012,40.06776545034463,0.008425021230406228,0.15000000000000036,0.15655916993317873,-0.0026856727123585164,0.0015233011940737184,0.9519230769230769,0.1395298076923077,1,0.0,2,0,24,0,0,49,0.75,0.0,24,49,0,0,0,78765,6684,1.3345,fever,0,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,122.6
0.53489513907782,2.6206772987205342,0.11962998552535757,3.2273504291135686,0.18,0.24,3.647350429113569,39.53579773025918,0.034233323040486555,0.0,0.10376530525745485,0.04336614659097485,0.005401853227511523,1.0,0.13338942307692306,2,3.0,0,0,24,1,0,56,2.25,2.75,24,56,0,0,0,90653,7171,1.3353,water_block,2,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,139.2
1.7784267561848655,0.0,4.171877964258362,4.281553534739883,1.1,0.12,5.501553534739883,40.011265428021694,0.007347678884156164,0.17063471590167634,0.20147255501826716,0.0131357520296367,0.0015087496011680305,0.8557692307692307,0.14242211538461538,1,0.0,2,0,24,0,0,49,0.25,0.0,24,49,0,0,0,78657,6652,1.3425,fever,1,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,121.3
