heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,latency_steps,exec_success_p
0.1987091488451167,1.2086192250729446,0.0,1.4073283739180613,0.42,0.0,1.8273283739180612,39.53428682999777,0.02973858149787963,0.0,0.15264287870684348,0.10818570473936487,0.0071101571968277015,0.9134615384615384,0.13385961538461538,0,7.0,0,0,2,0,0,26,1.0,6.75,combined,16,threshold,1,4,1.0,0,1.0
0.4919225083730243,1.8896414255570668,0.0,2.3815639339300914,0.24,0.0,2.6215639339300916,39.65747597724217,0.031909975634707925,0.0,0.14790111957353833,0.08760996337911973,0.007897161074680841,0.9230769230769231,0.13689038461538464,0,4.0,0,0,2,0,0,26,2.5,3.75,combined,17,threshold,1,4,1.0,0,1.0
0.4199669524128087,1.0438066769560281,0.0,1.4637736293688368,0.54,0.0,2.003773629368837,39.62499700980155,0.028868191361567902,0.0,0.14925582750393648,0.09249675948505019,0.007221310652701794,0.9134615384615384,0.13477211538461537,0,9.0,0,0,4,0,0,28,1.25,7.25,combined,18,threshold,1,4,1.0,0,1.0
1.1012419056864555,2.8492985159308972,1.1156901944385864,4.6199545382805045,0.36,0.0,4.979954538280505,39.732354090583954,0.03762516984222066,0.004993586445010724,0.1264523732945818,0.03076687126221641,0.0075740054518850805,0.9615384615384616,0.13329423076923075,0,6.0,0,0,9,1,0,33,0.0,4.0,combined,19,threshold,1,4,1.0,0,1.0
0.0,9.762997249260566e-05,0.0,9.762997249260566e-05,0.88,0.36,1.2400976299724926,38.98045351266322,0.020003905198899705,0.0,0.12746611164835114,0.09972952844097839,0.0038464689365357123,0.9807692307692307,0.13961826923076923,3,13.0,0,1,24,0,0,101,,13.0,combined,0,bounded_react,1,4,1.0,0,1.0
0.0,0.0,0.0,0.0,0.9999999999999999,0.24,1.2399999999999998,39.001005486054765,0.01625221891544106,0.0,0.10386433187271474,0.06126942160260223,0.0030690668926548143,1.0,0.1334375,2,15.0,0,1,24,0,0,98,,14.75,combined,1,bounded_react,1,4,1.0,0,1.0
0.0,1.3857104137940925,0.0,1.3857104137940925,0.9999999999999999,0.48,2.8657104137940923,38.977232590192685,0.029361256603496085,0.0,0.1309738440184951,0.0799235438666554,0.003796092804594166,0.9711538461538461,0.1383528846153846,4,15.0,0,1,24,1,0,102,,14.5,combined,2,bounded_react,1,4,1.0,0,1.0
0.0,0.03126111630547866,0.0,0.03126111630547866,1.1800000000000002,0.48,1.6912611163054787,38.96115318102234,0.021226481158083087,0.0,0.10319761486945987,0.05918513338810971,0.004353052658696741,0.9903846153846154,0.1346125,4,18.0,0,1,24,1,0,103,,18.0,combined,3,bounded_react,1,4,1.0,0,1.0
0.0,0.9533253941743718,0.0,0.9533253941743718,1.4,0.36,2.7133253941743716,39.00202129718885,0.02890721216194806,0.0,0.12555715208473234,0.06067422052462135,0.0031490308010974984,0.9807692307692307,0.13893076923076925,3,20.0,0,2,24,0,0,100,,19.5,combined,4,bounded_react,1,4,1.0,0,1.0
0.0,1.1217823335313086,0.0,1.1217823335313086,1.12,0.24,2.481782333531309,38.96334794931918,0.029947659828016136,0.0,0.1063728190148528,0.05600550396999244,0.00699595812563334,0.9903846153846154,0.1331326923076923,2,17.0,0,1,24,0,0,99,,16.0,combined,5,bounded_react,1,4,1.0,0,1.0
0.0,0.0,0.0,0.0,1.12,0.24,1.36,38.96531466109935,0.008560689416282697,0.0,0.10542910834414568,0.06455177704937583,0.0016797991516151489,0.9807692307692307,0.13481346153846155,2,17.0,0,1,24,0,0,99,,16.5,combined,6,bounded_react,1,4,1.0,0,1.0
0.0,0.13783239568009334,0.0,0.13783239568009334,1.49,0.12,1.7478323956800934,39.025337215493884,0.022940443902495163,0.0,0.14523499947840124,0.08511968496431897,0.005172381072956003,0.9519230769230769,0.1373769230769231,1,14.0,1,1,24,0,0,96,,14.0,combined,7,bounded_react,1,4,1.0,0,1.0
0.0,0.3842818852211964,0.0,0.3842818852211964,1.61,0.12,2.1142818852211964,38.9457658712222,0.0253405399317214,0.0,0.12287948657948831,0.07756120574561454,0.005582724841357429,0.9807692307692307,0.13602884615384617,1,16.0,1,1,24,0,0,96,,15.75,combined,8,bounded_react,1,4,1.0,0,1.0
0.0,0.027405014085883205,0.0,0.027405014085883205,1.24,0.24,1.5074050140858832,39.013503860408036,0.02109620056343533,0.0,0.10145516793065441,0.05428655702297899,0.005102157093614623,0.9903846153846154,0.13645673076923076,2,19.0,0,1,24,0,0,97,,15.75,combined,9,bounded_react,1,4,1.0,0,1.0
0.0,0.8047164802308566,0.0,0.8047164802308566,0.7,0.36,1.8647164802308565,38.99617804274734,0.027000317954442608,0.0,0.12315114339121108,0.09484901518370704,0.005828468518003994,0.9903846153846154,0.13615576923076922,3,10.0,0,1,24,0,0,101,,10.0,combined,10,bounded_react,1,4,1.0,0,1.0
0.0,0.016610796702342702,0.0,0.016610796702342702,1.1800000000000002,0.24,1.436610796702343,38.96279055576371,0.02066443186809371,0.0,0.12386168037216495,0.07415072064497888,0.003755161622346533,0.9807692307692307,0.13760096153846155,2,18.0,0,1,24,0,0,99,,17.0,combined,11,bounded_react,1,4,1.0,0,1.0
0.0,0.031539270012422016,0.0,0.031539270012422016,0.94,0.12,1.0915392700124218,39.02848449304964,0.021169733750523397,0.0,0.12871984436162628,0.08912952908714927,0.004255184331413206,0.9903846153846154,0.13921250000000002,1,14.0,0,1,24,0,0,97,,14.0,combined,12,bounded_react,1,4,1.0,0,1.0
0.0,1.2803016670540932,0.0,1.2803016670540932,0.8999999999999999,0.12,2.300301667054093,38.95074556318693,0.030454502873467768,0.0,0.13164246630936025,0.08917802284152444,0.0062776429361692055,0.9807692307692307,0.14124423076923076,1,15.0,0,0,24,0,0,98,,14.5,combined,13,bounded_react,1,4,1.0,0,1.0
0.0,0.7024574177393675,0.0,0.7024574177393675,1.24,0.48,2.4224574177393676,38.979911891715446,0.02762856539620986,0.0,0.11673357032718906,0.056414708012751995,0.006297865999572851,1.0,0.13508653846153848,4,19.0,0,1,24,0,0,103,,18.5,combined,14,bounded_react,1,4,1.0,0,1.0
0.0,0.9528637877355075,0.0,0.9528637877355075,1.06,0.24,2.2528637877355076,38.95776805024439,0.0284609472236984,0.0,0.11066366388338149,0.06465148619816165,0.0070477797214988785,0.9807692307692307,0.13470384615384615,2,16.0,0,1,24,0,0,99,,14.0,combined,15,bounded_react,1,4,1.0,0,1.0
0.0,1.324014672197325,0.0,1.324014672197325,0.82,0.36,2.5040146721973247,39.051398600912655,0.030243297779412644,0.0,0.1323267757338937,0.09319079470094452,0.006673316454894571,0.9807692307692307,0.13779615384615385,3,12.0,0,1,24,0,0,100,,12.0,combined,16,bounded_react,1,4,1.0,0,1.0
0.0,0.0,0.0,0.0,0.58,0.36,0.94,39.08434405894654,0.013021782176395597,0.0,0.15824522451321532,0.09068833427802225,0.0026087971339706258,0.9326923076923077,0.13867788461538463,3,8.0,0,1,24,0,0,101,,8.0,combined,17,bounded_react,1,4,1.0,0,1.0
0.0,0.5317121605636907,0.0,0.5317121605636907,1.61,0.24,2.3817121605636906,38.950495768126224,0.026528184005977316,0.0,0.12103245631520618,0.07180791341849559,0.005475987810561422,0.9807692307692307,0.13374807692307694,2,16.0,1,1,24,0,0,95,,15.25,combined,18,bounded_react,1,4,1.0,0,1.0
0.0,2.4860583901277264,0.0,2.4860583901277264,1.65,0.24,4.376058390127726,38.99244103031501,0.034642786293783576,0.0,0.12783257961958938,0.06461440118014763,0.008343937757070517,0.9711538461538461,0.13611346153846154,2,15.0,1,2,24,0,0,97,,15.0,combined,19,bounded_react,1,4,1.0,0,1.0
0.2134685504498215,0.0,0.0,0.2134685504498215,0.6,0.0,0.8134685504498215,39.422962225659354,0.007644079981729744,0.0,0.07488358495212002,0.033469806047404675,0.0011006052611890905,1.0,0.12690096153846156,0,10.0,0,0,4,0,0,28,0.75,9.75,heat,0,threshold,1,4,1.0,0,0.8
0.27396386873729384,0.0,0.0,0.27396386873729384,0.54,0.0,0.8139638687372939,39.52842368479324,0.008311313177016253,0.0,0.07797648250837463,0.03335795207027026,0.001453537882006159,1.0,0.12792115384615382,0,9.0,0,0,4,0,0,28,0.75,8.25,heat,1,threshold,1,4,1.0,0,0.8
