heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.019196338509104,0.008274137945651107,0.0,0.14497568799490274,0.04152644071179045,0.00125794018024157,0.9423076923076923,0.13848365384615385,0,0.0,0,0,0,0,0,24,,0.0,normal,10,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.98495479465587,0.006191750785659601,0.0,0.12837490145689362,0.024868670133869022,0.0012224716456479738,0.9615384615384616,0.13668942307692308,0,0.0,0,0,0,0,0,24,,0.0,normal,11,threshold,1,4,1.0
0.010011739471931236,0.0,0.0,0.010011739471931236,0.0,0.0,0.010011739471931236,39.22029542367089,0.007194190948557863,0.0,0.11558359917710181,0.02181134638150979,0.0013222885342331191,0.9807692307692307,0.1308019230769231,0,0.0,0,0,0,0,0,24,,0.0,normal,12,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.14791011515336,0.007312636870702212,0.0,0.14033721701770727,0.02951454452220253,0.0017630178087135616,0.9326923076923077,0.13418461538461537,0,0.0,0,0,0,0,0,24,,0.0,normal,13,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.113409707050316,0.008636211120505274,0.0,0.1285918399955377,0.020721488433182163,0.0013793711992873576,0.9519230769230769,0.13515384615384615,0,0.0,0,0,0,0,0,24,,0.0,normal,14,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.97409179552174,0.007998686358840284,0.0,0.18100937234183934,0.03723180385594485,0.0011617264730355446,0.8557692307692307,0.13927692307692308,0,0.0,0,0,0,0,0,24,,0.0,normal,15,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.995638801987155,0.008401152409191254,0.0,0.1564563760575321,0.03356330397336143,0.0013140655743719431,0.875,0.13680480769230768,0,0.0,0,0,0,0,0,24,,0.0,normal,16,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.946268431747114,0.009283618862120287,0.0,0.15895347759609793,0.034896827815756475,0.0018131247423371641,0.9230769230769231,0.14178173076923078,0,0.0,0,0,0,0,0,24,,0.0,normal,17,threshold,1,4,1.0
0.01411319641444031,0.0,0.0,0.01411319641444031,0.06,0.0,0.07411319641444031,39.256452785657764,0.006891719725227974,0.0,0.11111167648622686,0.020366389426695237,0.001164674968109248,0.9711538461538461,0.13283557692307693,0,1.0,0,0,2,0,0,26,0.0,1.0,normal,18,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99219795491552,0.007770076127037378,0.0,0.14910233986656943,0.011020050616459788,0.0013897744733925707,0.9326923076923077,0.13508365384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,19,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.958221191562714,0.007213371183922394,0.0,0.17218155823750564,0.023875539028084567,0.0014455137241040532,0.8942307692307693,0.13971923076923076,0,0.0,0,0,0,0,0,24,,0.0,normal,20,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.16340018151064,0.00763936358992051,0.0,0.12243611573154076,0.02238414542801084,0.0014469097970482524,0.9711538461538461,0.13472211538461537,0,0.0,0,0,0,0,0,24,,0.0,normal,21,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.95504672091797,0.006772902709981431,0.0,0.1896858303604062,0.03871042282702449,0.00212373686999641,0.8173076923076923,0.1413076923076923,0,0.0,0,0,0,0,0,24,,0.0,normal,22,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.10109248204493,0.006785094488016768,0.0,0.13182800754425889,0.01729125682592391,0.0011947327799108902,0.9807692307692307,0.13283461538461538,0,0.0,0,0,0,0,0,24,,0.0,normal,23,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.962760593154606,0.007904471048850732,0.0,0.11827342677341197,0.034245093726552225,0.0012585597804595143,0.9903846153846154,0.1358375,0,0.0,0,0,0,0,0,24,,0.0,normal,24,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99444533284284,0.0065900190020150295,0.0,0.1939894151170035,0.02966352018901304,0.0013835901440083912,0.8269230769230769,0.14585288461538462,0,0.0,0,0,0,0,0,24,,0.0,normal,25,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.96148996290698,0.007760366993288472,0.0,0.1408213633637226,0.0376146407857595,0.001790427217624757,0.9134615384615384,0.13658365384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,26,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.04157123468032,0.00721273612465026,0.0,0.13910318504920427,0.024152938048748716,0.0017880030221182723,0.9519230769230769,0.13457115384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,27,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.95195283953136,0.007328210666688658,0.0,0.15054390906875267,0.027911452519122602,0.0016771215613515648,0.9423076923076923,0.1377673076923077,0,0.0,0,0,0,0,0,24,,0.0,normal,28,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.983556563137554,0.00791532072742658,0.0,0.1485174081851467,0.027114507714841737,0.0014802858403737892,0.9230769230769231,0.13627692307692307,0,0.0,0,0,0,0,0,24,,0.0,normal,29,threshold,1,4,1.0
