heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,verify_price
0.0,1.6527542574897882,0.0,1.6527542574897882,0.9999999999999999,0.0,2.652754257489788,38.97060014964345,0.03162131869226119,0.0,0.12230889489319176,0.07679842363095747,0.0038104364767441875,0.9807692307692307,0.13694615384615386,3,15.0,0,1,24,1,0,100,,14.25,combined,2,bounded_react,1,4,1.0,0.0
0.0,0.18388749669671658,0.0,0.18388749669671658,1.1800000000000002,0.0,1.3638874966967167,38.98161233351396,0.023640716637176793,0.0,0.10633895794525001,0.05889577655122979,0.005142056427681121,1.0,0.13503942307692307,4,18.0,0,1,24,1,0,103,,18.0,combined,3,bounded_react,1,4,1.0,0.0
0.0,1.6728669664419666,0.0,1.6728669664419666,1.4,0.0,3.0728669664419668,39.00202129718885,0.03132412322441901,0.0,0.12392892454660681,0.056343833700151134,0.002766409038738515,0.9615384615384616,0.13660673076923077,3,20.0,0,2,24,0,0,98,,19.5,combined,4,bounded_react,1,4,1.0,0.0
0.0,1.1217875684836798,0.0,1.1217875684836798,1.12,0.0,2.24178756848368,38.9633136110085,0.029947683176073627,0.0,0.10245532127962416,0.05528394541112975,0.006997300219029401,0.9903846153846154,0.13391153846153847,2,17.0,0,1,24,0,0,99,,16.25,combined,5,bounded_react,1,4,1.0,0.0
0.0,0.015481954337383079,0.0,0.015481954337383079,1.06,0.0,1.075481954337383,38.97235318914283,0.020619278173495324,0.0,0.10265124444157574,0.0726654751397571,0.0032539136115758848,1.0,0.1353269230769231,2,16.0,0,1,24,0,1,99,,16.0,combined,6,bounded_react,1,4,1.0,0.0
0.0,1.178406567460775,0.0,1.178406567460775,1.06,0.0,2.238406567460775,38.934310550960646,0.0298311923606283,0.0,0.11857709876368065,0.06872988325951543,0.006289741422929628,0.9903846153846154,0.13675384615384617,2,16.0,0,1,24,0,0,99,,16.0,combined,7,bounded_react,1,4,1.0,0.0
0.0,0.3026872039719513,0.0,0.3026872039719513,1.12,0.0,1.4226872039719514,38.95419593638914,0.02467169949459003,0.0,0.11683497063069391,0.06242173194971146,0.005013895716209078,0.9903846153846154,0.13682115384615384,2,17.0,0,1,24,0,0,98,,16.5,combined,8,bounded_react,1,4,1.0,0.0
0.0,1.0477520655112722,0.0,1.0477520655112722,1.24,0.0,2.287752065511272,39.08698850254956,0.028980082986654016,0.0,0.0786981449107434,0.042346036225937064,0.0056547795055450585,1.0,0.13296153846153846,3,19.0,0,1,24,0,0,100,,15.0,combined,9,bounded_react,1,4,1.0,0.0
0.0,0.0,0.0,0.0,0.82,0.0,0.82,39.0194867534935,0.011953382599441852,0.0,0.10211419669734503,0.07236038821304683,0.0025770313282447287,0.9903846153846154,0.1340048076923077,2,12.0,0,1,24,0,0,97,,12.0,combined,10,bounded_react,1,4,1.0,0.0
0.0,0.13427706383223065,0.0,0.13427706383223065,1.12,0.0,1.2542770638322307,38.96030988238251,0.022921687079788092,0.0,0.11306608458833534,0.0681312989349814,0.004440954128300794,0.9903846153846154,0.13586057692307693,1,17.0,0,1,24,0,0,97,,16.5,combined,11,bounded_react,1,4,1.0,0.0
